Index,SiteName,SiteShortName,Longitude[degrees],Latitude[degrees],Altitude[m],TWD97_E[m],TWD97_N[m],Date,Loaction,Operator,Auditor,DievceName,DievceSN
1,NCU1995002(002),002,121.608237,25.198222,750,311297.3,2787871.8,null,null,null,null,null,null
2,NCU1995003(003),003,121.308197,24.698231,300,281185.0,2732388.8,null,null,null,null,null,null
3,NCU1995004(004),004,121.608197,24.598214,200,311590.3,2721412.2,null,null,null,null,null,null
4,NCU1995005(005),005,121.408131,23.621211,150,291644.8,2613133.8,null,null,null,null,null,null
5,NCU1995007(007),007,120.671098,23.370246,440,216376.0,2585320.8,null,null,null,null,null,null
6,NCU1995008(008),008,121.208097,23.148215,250,271309.2,2560710.8,null,null,null,null,null,null
7,NCU1995011(011),011,120.928162,24.298246,500,242708.0,2688055.5,null,null,null,null,null,null
8,NCU1995013(013),013,120.638071,22.948242,200,212883.6,2538597.5,null,null,null,null,null,null
9,NCU1995016(016),016,121.066074,22.808218,170,256782.9,2523048.3,null,null,null,null,null,null
10,NCU1995017(017),017,121.258107,23.298215,250,276400.8,2577329.4,null,null,null,null,null,null
11,NCU1995018(018),018,121.386135,23.690213,220,289379.6,2620769.1,null,null,null,null,null,null
12,NCU1995020(020),020,121.138149,24.018231,1000,264053.5,2657049.0,null,null,null,null,null,null
13,NCU1995021(021),021,121.358180,24.418225,1300,286323.2,2701388.5,null,null,null,null,null,null
14,NCU1995022(022),022,121.308177,24.388227,1700,281259.7,2698053.9,null,null,null,null,null,null
15,NCU1995023(023),023,120.758084,23.108238,400,225220.4,2556289.2,null,null,null,null,null,null
16,NCU1995024(024),024,120.913098,23.276232,2350,241109.7,2574874.3,null,null,null,null,null,null
17,NCU1995025(025),025,120.958098,23.258229,2700,245712.7,2572878.7,null,null,null,null,null,null
18,NCU1995026(026),026,121.338204,24.798231,300,284194.0,2743471.9,null,null,null,null,null,null
19,NCU1995028(028),028,120.458078,23.138253,60,194502.5,2559695.6,null,null,null,null,null,null
20,NCU1995031(031),031,121.584241,25.262924,150,308847.8,2795028.1,null,null,null,null,null,null
21,NCU1995032(032),032,121.900235,25.073204,150,340818.3,2774188.2,null,null,null,null,null,null
22,NCU1995035(035),035,120.738138,23.998252,150,223357.3,2654854.3,null,null,null,null,null,null
